2014-10-06 10:33:17 - kmerize.py - Will process 1 fasta files
2014-10-06 10:33:17 - kmerize.py - Processing file 500nt_Resample_1/viruses_contigs.fa
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|15320794|ref|NC_003084.1|:1-543 Culex nigripalpus NPV, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|11462417|ref|NC_002615.1|:88-685 European brown hare syndrome virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|15081567|ref|NC_003043.1|:41-544 Avian paramyxovirus 6, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|19919896|ref|NC_003504.1|:64-710 Bean calico mosaic virus DNA A, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|20428557|ref|NC_003767.1|:28-734 Rice dwarf virus segment 11, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|211910015|ref|NC_006306.2| Influenza C virus (C/Ann Arbor/1/50) segment 7, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|226423341|ref|NC_012545.1| Homalodisca vitripennis reovirus segment S11, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|29570978|gb|AACD01000125.1|:89-552 Aspergillus nidulans FGSC A4 chromosome IV ANcontig1.125, whole genome shotgun sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|51949968|ref|NC_006263.1|:17-493 Avian adeno-associated virus strain DA-1, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|66396040|ref|NC_007059.1|:61-839 Staphylococcus phage 71, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|664651923|ref|NC_024471.1|:7-721 Yellow oat-grass mosaic virus isolate YOgMV-Sb, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|71658856|ref|NC_007241.1|:83-552 Vicia cryptic virus RNA1, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|72537515|ref|NC_007339.1|:36-443 Squash leaf curl China virus - [B] DNA-A, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|89888094|ref|NC_007856.1|:23-223 Enterobacteria phage ID18, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9626152|ref|NC_001402.1|:331-889 Avian carcinoma virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9626670|ref|NC_001468.1|:459-744 African cassava mosaic virus isolate West Kenyan 844 segment DNA2, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9626708|ref|NC_001483.1|:737-1185 Foxtail mosaic virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9626986|ref|NC_001507.1|:718-1016 Tomato golden mosaic virus DNA A, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9626993|ref|NC_001510.1|:107-562 Minute virus of mice, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9626993|ref|NC_001510.1|:562-1017 Minute virus of mice, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9628101|ref|NC_001655.1|:361-680 Hepatitis GB virus B, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9628429|ref|NC_001671.1|:138-627 Pea seed-borne mosaic virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9630761|ref|NC_001956.1|:412-843 Vibrio phage fs2, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9630761|ref|NC_001956.1|:843-1274 Vibrio phage fs2, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9633990|ref|NC_001271.1|:267-1264 Yersinia phage phiYeO3-12, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9695415|ref|NC_002200.1|:150-475 Mumps virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9790313|ref|NC_001547.1|:163-482 Sindbis virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9790313|ref|NC_001547.1|:482-801 Sindbis virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|9964314|ref|NC_002520.1|:560-1062 Amsacta moorei entomopoxvirus 'L', complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|124378110|ref|NC_008867.1|:76-743 Glypta fumiferanae ichnovirus segment B23, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|15081567|ref|NC_003043.1|:544-1047 Avian paramyxovirus 6, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|17570786|ref|NC_003298.1|:336-700 Enterobacteria phage T3, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|17570786|ref|NC_003298.1|:700-1064 Enterobacteria phage T3, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|18254496|ref|NC_003355.1|:510-1135 Wasabi mottle virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|18640086|ref|NC_003389.1|:224-528 Swinepox virus, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|19744917|ref|NC_003469.1|:506-771 Barley stripe mosaic virus RNA 1, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|19744917|ref|NC_003469.1|:771-1036 Barley stripe mosaic virus RNA 1, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|19919896|ref|NC_003504.1|:710-1356 Bean calico mosaic virus DNA A, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|20177452|ref|NC_003661.1|:118-374 Nilaparvata lugens reovirus segment 9, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|20177452|ref|NC_003661.1|:374-630 Nilaparvata lugens reovirus segment 9, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|20178606|ref|NC_003676.1|:647-966 Apoi virus, genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|20428591|ref|NC_003776.1|:922-1523 Rice stripe virus RNA 3, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|20564169|ref|NC_003845.1|:144-870 Tobacco streak virus RNA 3, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|21165973|ref|NC_003890.1|:662-1085 Tomato black ring virus satellite RNA, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|23238135|ref|NC_004220.1|:169-914 Banna virus segment 5, complete sequence
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|23238149|ref|NC_004209.1|:175-609 Kadipiro virus segment 7, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|23238149|ref|NC_004209.1|:609-1043 Kadipiro virus segment 7, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|23238151|ref|NC_004210.1|:837-1037 Kadipiro virus chromosome segment 1, complete genome
2014-10-06 10:33:17 - kmerize.py - Processing sequence gi|23238159|ref|NC_004215.1|:202-899 Kadipiro virus chromosome segment 5, complete genome
